word,n_morphemes,note,ratingcmp,zipf_freq,c1,c2
hogbacks,2,hog+backs ratingcmp=48.8,48.777779,1.07,hog,backs
playbacks,2,play+backs ratingcmp=72.7,72.666664,1.48,play,backs
quarterbacks,2,quarter+backs ratingcmp=38.9,38.903225,2.672045383856066,quarter,backs
hardbacks,2,hard+backs ratingcmp=54.4,54.407406,1.592864137808441,hard,backs
fullbacks,2,full+backs ratingcmp=31.0,30.959999,1.592864137808441,full,backs
paybacks,2,pay+backs ratingcmp=73.7,73.666664,1.893894133472422,pay,backs
greenbacks,2,green+backs ratingcmp=46.8,46.809525,2.614053436878379,green,backs
diamondbacks,2,diamond+backs ratingcmp=45.2,45.192307,1.592864137808441,diamond,backs
razorbacks,2,razor+backs ratingcmp=42.8,42.84,1.990804146480479,razor,backs
outbacks,2,out+backs ratingcmp=62.3,62.299999,0.0,out,backs
hunchbacks,2,hunch+backs ratingcmp=87.4,87.416664,1.893894133472422,hunch,backs
rollbacks,2,roll+backs ratingcmp=50.7,50.740742,1.96,roll,backs
pullbacks,2,pull+backs ratingcmp=67.9,67.904762,1.6,pull,backs
flashbacks,2,flash+backs ratingcmp=64.6,64.639999,2.835902186494736,flash,backs
kickbacks,2,kick+backs ratingcmp=53.9,53.933334,2.614053436878379,kick,backs
canvasbacks,2,canvas+backs ratingcmp=58.4,58.392857,0.0,canvas,backs
mossbacks,2,moss+backs ratingcmp=35.6,35.592594,0.0,moss,backs
hatchbacks,2,hatch+backs ratingcmp=46.4,46.360001,2.13,hatch,backs
drawbacks,2,draw+backs ratingcmp=52.4,52.42857,2.570587743097289,draw,backs
paperbacks,2,paper+backs ratingcmp=66.0,66.0,2.405777494451296,paper,backs
buybacks,2,buy+backs ratingcmp=69.1,69.137932,2.4,buy,backs
chawbacon,2,chaw+bacon ratingcmp=26.2,26.16,0.0,chaw,bacon
schoolbag,2,school+bag ratingcmp=94.2,94.181816,2.136932182158717,school,bag
beanbag,2,bean+bag ratingcmp=63.5,63.535713,2.723197906303447,bean,bag
gasbag,2,gas+bag ratingcmp=49.6,49.592594,1.893894133472422,gas,bag
feedbag,2,feed+bag ratingcmp=64.5,64.525002,2.333226827302685,feed,bag
moneybag,2,money+bag ratingcmp=87.5,87.519997,1.990804146480479,money,bag
handbag,2,hand+bag ratingcmp=72.6,72.564102,3.422167910639466,hand,bag
gamebag,2,game+bag ratingcmp=62.3,62.299999,0.0,game,bag
saddlebag,2,saddle+bag ratingcmp=56.8,56.846153,2.437962177822698,saddle,bag
kitbag,2,kit+bag ratingcmp=52.7,52.73077,1.592864137808441,kit,bag
carpetbag,2,carpet+bag ratingcmp=47.1,47.075001,1.893894133472422,carpet,bag
sickbag,2,sick+bag ratingcmp=77.8,77.814812,0.0,sick,bag
sandbag,2,sand+bag ratingcmp=84.6,84.62162,2.592864137808441,sand,bag
workbag,2,work+bag ratingcmp=82.0,81.966667,0.0,work,bag
fleabag,2,flea+bag ratingcmp=43.4,43.435898,2.706807490115278,flea,bag
windbag,2,wind+bag ratingcmp=45.6,45.564102,2.91508343254236,wind,bag
mailbag,2,mail+bag ratingcmp=83.4,83.351349,2.069985392528103,mail,bag
postbag,2,post+bag ratingcmp=72.2,72.15625,1.24,post,bag
ragbag,2,rag+bag ratingcmp=58.1,58.103447,1.2,rag,bag
nosebag,2,nose+bag ratingcmp=33.4,33.410255,1.592864137808441,nose,bag
seabag,2,sea+bag ratingcmp=48.0,48.035713,1.592864137808441,sea,bag
carpetbagger,2,carpet+bagger ratingcmp=46.1,46.125,2.069985392528103,carpet,bagger
sandbagger,2,sand+bagger ratingcmp=74.1,74.148148,0.0,sand,bagger
nosebags,2,nose+bags ratingcmp=43.7,43.703705,0.0,nose,bags
saddlebags,2,saddle+bags ratingcmp=85.8,85.774193,2.522283063522734,saddle,bags
feedbags,2,feed+bags ratingcmp=70.0,69.958336,0.0,feed,bags
